Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	EpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	TotalEnvInteracts	PolicyLoss	ValueLoss	Entropy	AvgKL	StopIter
115	499.58896	7.2424383	514.5638	479.939	168.64	177.46263	60.689186	234.08607	2.2142544	575000	-0.011275918	4.6635666	-2.4275923	0.07968102	25.0
116	516.8552	16.068497	566.4813	497.43137	173.32	180.71169	59.444817	233.58574	1.9266798	580000	0.03311013	10.320936	-2.4334295	0.0810059	5.0
117	517.03406	9.887928	543.33905	499.16687	173.36	183.738	60.18385	237.77428	2.8947358	585000	-0.04141492	5.3903236	-2.4882596	0.03878596	79.0
118	514.17456	13.8346615	567.0623	496.16196	172.52	183.84778	60.342945	237.26382	3.163565	590000	-0.006369117	7.3863454	-2.5106945	0.083239734	27.0
119	522.60297	14.725919	550.3013	497.19376	174.4	183.86429	60.675964	237.83194	1.6477816	595000	-0.043633323	7.3422203	-2.5783315	0.06231786	79.0
120	523.2478	11.932139	546.55664	499.5464	174.48	186.01372	60.211308	239.38515	1.865212	600000	0.014423427	6.651783	-2.5850809	0.09028527	3.0
121	543.68256	37.5565	662.91144	503.12897	180.12	185.62323	61.853725	241.42102	1.7318001	605000	0.045572713	55.814262	-2.5904005	0.10969308	1.0
122	532.9664	67.92155	596.26605	206.76993	177.03847	190.13663	61.56114	244.4728	-1.3466392	610000	0.012914859	399.19864	-2.5962956	0.14187565	1.0
123	568.5158	30.011261	649.2944	532.01636	187.4	187.56212	62.214287	246.1227	-0.4322282	615000	0.0047934167	30.436663	-2.5834484	0.09238343	4.0
124	576.991	29.18616	629.1911	533.6253	189.64	192.46126	64.046196	251.33867	-0.5488944	620000	0.036754116	27.499125	-2.5895383	0.07673762	2.0
125	614.42255	49.842144	684.7019	532.87366	199.70833	194.031	64.98316	258.3667	-2.4125721	625000	0.08166921	65.533966	-2.609693	0.19325335	1.0
126	619.3808	51.055042	683.5432	524.87933	200.2381	202.49887	64.44282	266.4545	-0.34424067	630000	0.057549078	93.26202	-2.6231046	0.11953437	1.0
127	625.1929	43.897552	696.2989	546.4874	201.22728	205.4047	66.14156	271.85995	-6.6869454	635000	0.066598535	69.53372	-2.626373	0.19458511	1.0
128	670.25525	37.998405	716.83887	578.9753	215.55	208.56485	64.34935	272.86984	-7.0290833	640000	0.07632785	37.80886	-2.6159878	0.1579656	2.0
129	663.7676	29.604544	702.2596	598.04694	211.4	213.487	67.33083	280.20047	-0.6363252	645000	0.060749896	40.393433	-2.6204689	0.16248225	1.0
130	685.98065	12.976229	706.46533	648.77216	219.0	213.9921	66.9013	279.33826	-0.6207357	650000	0.067343235	15.124442	-2.617918	0.24406223	1.0
131	676.71454	56.154526	759.28125	535.057	220.8	218.68077	67.37364	293.0642	2.233582	655000	0.026227698	36.637386	-2.598371	0.09588392	12.0
132	697.38464	28.791128	748.95215	634.07086	226.55	213.2511	70.42331	287.4446	-2.8134608	660000	0.04162128	16.06857	-2.5961678	0.14354292	2.0
133	697.85596	15.184963	734.62445	660.13385	224.3	212.7646	69.56078	283.82773	0.22795045	665000	0.046046767	12.142145	-2.6025097	0.09034891	3.0
134	697.66345	12.695884	740.4642	683.5085	223.55	219.42392	70.06153	289.53323	2.5748813	670000	0.036902174	11.8732815	-2.6059067	0.09098053	1.0
135	684.61804	13.375667	711.29083	663.19666	219.05	218.50755	69.190506	284.07565	2.9141817	675000	0.04585552	21.170765	-2.6119475	0.14067614	1.0
136	701.5112	18.58044	757.7281	661.601	226.2	215.98703	68.332375	282.1291	1.1497362	680000	0.013670421	13.812498	-2.5956213	0.07987181	5.0
137	687.8232	11.743183	708.1805	671.497	220.55	216.49754	68.3693	280.38004	2.0150685	685000	0.026185473	12.065005	-2.6033585	0.12707278	1.0
138	704.01843	22.188606	769.29443	661.91437	226.45	217.07855	68.60126	280.14618	-0.68356586	690000	0.019403562	17.395157	-2.6032305	0.07712236	2.0
139	728.5926	28.238937	782.3349	685.3422	234.7	214.8098	68.17889	280.97644	2.413685	695000	0.048598453	20.300756	-2.5897121	0.08739341	2.0
140	779.20447	75.77907	960.95074	608.02594	252.83333	218.55295	65.36108	280.85617	2.685069	700000	0.045317058	41.076725	-2.5984855	0.08329478	1.0
141	765.5897	90.64967	923.59924	486.88748	250.83333	224.89204	68.06266	291.4532	0.052435115	705000	0.019652829	442.4954	-2.6020641	0.12112473	1.0
142	749.9971	119.6572	924.8248	481.24817	247.875	221.61205	63.579254	286.8064	0.19157949	710000	-0.03462185	545.1455	-2.628457	0.021480605	79.0
143	871.42163	177.95262	1336.2996	725.3839	282.73334	224.74138	65.49187	292.20465	-4.4668155	715000	0.026900465	91.54384	-2.6283257	0.12791234	7.0
144	902.15356	102.43923	1107.5356	749.7244	291.33334	233.2355	67.04382	294.95624	-0.13404451	720000	0.03685687	60.2151	-2.6352577	0.10088012	2.0
145	917.9047	158.63126	1267.8502	679.90125	298.35715	235.39795	67.493515	299.2821	-2.122511	725000	0.047673345	83.905205	-2.627243	0.07715249	1.0
146	920.53046	140.8365	1231.3033	762.31757	298.57144	234.7643	68.33733	298.18875	-4.1435575	730000	0.09764652	65.2497	-2.63672	0.26422814	2.0
147	713.4066	24.616796	792.33856	687.97986	229.15	227.39842	78.271194	307.26086	-1.2000494	735000	0.055382762	25.211319	-2.629346	0.13130218	1.0
148	675.9638	16.188261	697.706	623.99475	215.65	220.24515	70.13325	281.3253	2.5825446	740000	0.033641636	22.341307	-2.6505406	0.083694234	1.0
149	658.216	92.50622	709.16315	371.56458	213.05	217.4412	64.84366	275.73972	-0.54593396	745000	0.011369648	777.4713	-2.6468236	0.10200112	1.0
150	713.5179	90.37004	887.6174	380.81137	229.75	212.06744	63.401936	271.98752	2.4934616	750000	0.04426481	507.55316	-2.6346283	0.097955585	1.0
